SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
511122,FIRST CUSTO.,XT,Q,23.95,23.95,22.85,22.85,22.85,22.85,3,21,501.00,
511131,KAMAN HSG   ,X ,Q,5.11,5.54,5.00,5.54,5.49,5.54,8,1902,10121.00,
511144,ASYAINFO    ,X ,Q,4.60,4.70,4.28,4.28,4.28,4.50,35,6013,25757.00,
511147,WALL ST.FIN.,X ,Q,14.60,15.23,14.60,15.23,15.23,15.36,15,396,5911.00,
511153,ANJANIFOODS ,XT,Q,144.00,152.00,143.55,145.15,151.80,151.10,42,4179,617880.00,
511176,PARSHWANA   ,X ,Q,20.75,20.75,19.80,19.80,19.80,20.75,2,9,179.00,
511187,MILLENNIUM  ,X ,Q,0.67,0.67,0.61,0.67,0.67,0.64,12,6392,4280.00,
511196,CANFIN HOMES,A ,Q,490.85,501.85,487.05,489.65,489.65,490.85,343,7788,3846726.00,
511208,IL & FS INVE,B ,Q,4.60,4.62,4.50,4.55,4.55,4.49,38,34121,154861.00,
511218,SHRIRAM TRAN,A ,Q,1439.00,1447.95,1407.95,1440.05,1440.05,1427.65,2744,59935,85845795.00,
511243,CHOLAFIN    ,A ,Q,465.00,478.65,465.00,471.40,470.05,467.70,3126,208833,98610538.00,
511333,VLS FINANCE ,B ,Q,87.85,90.70,86.15,89.55,90.50,87.20,517,22783,2035937.00,
511355,IND CEM CAP ,XT,Q,4.50,4.78,4.50,4.78,4.78,4.56,9,1188,5503.00,
511359,AD-MANUM FIN,X ,Q,13.87,14.15,13.87,14.15,14.15,14.48,2,106,1498.00,
511377,MEHTA I.FIN ,XT,Q,4.42,4.65,4.42,4.43,4.65,4.43,7,1205,5341.00,
511389,VIDEOCON IND,Z ,Q,5.60,5.65,5.42,5.65,5.65,5.39,583,643050,3621227.00,
511391,INTER GLOB F,XT,Q,10.42,10.42,10.42,10.42,10.42,10.22,1,200,2084.00,
511401,MCLTD       ,X ,Q,2.57,2.57,2.57,2.57,2.57,2.57,1,200,514.00,
511411,SHRISTINFRA ,XT,Q,62.10,65.30,62.10,65.30,65.30,62.25,3,367,22799.00,
511413,CREST       ,B ,Q,91.60,99.50,91.60,92.65,92.65,93.55,58,2031,192343.00,
511431,VAKRANGEE   ,A ,Q,50.40,52.90,50.25,52.75,52.75,50.40,981,231594,12128781.00,
511441,GUJ.CREDIT  ,XT,Q,4.45,4.46,4.45,4.45,4.45,4.35,5,360,1602.00,
511463,ALEXANDER   ,X ,Q,14.60,14.99,14.30,14.91,14.90,14.28,89,20464,299877.00,
511473,IND.BANK MER,B ,Q,11.42,11.61,11.35,11.49,11.49,11.42,51,4495,51537.00,
511501,BHARAT BHUSH,X ,Q,16.40,17.15,16.35,16.70,17.15,17.05,21,1834,30583.00,
511505,CAPITAL TRUS,B ,Q,85.20,89.40,84.80,85.65,85.30,85.20,55,1384,119847.00,
511509,VIVO BIO TEC,X ,Q,54.10,55.85,52.10,52.80,52.80,53.90,223,33135,1774137.00,
511523,VEERHEALTH  ,X ,Q,8.50,8.50,8.50,8.50,8.50,8.50,4,1385,11772.00,
511525,PAN INDIA C ,XT,Q,0.49,0.49,0.49,0.49,0.49,0.49,36,51351,25161.00,
511533,SAHARA HOUSG,X ,Q,38.50,38.50,37.10,37.30,37.10,38.70,37,1618,60851.00,
511535,NDA SECURIT.,X ,Q,5.92,5.92,5.92,5.92,5.92,5.92,1,5,29.00,
511543,GSB FINANCE ,X ,Q,6.06,6.50,6.06,6.50,6.50,6.37,2,101,612.00,
511549,MORARKA FIN.,X ,Q,36.35,36.35,33.20,34.50,34.35,35.25,87,5575,193613.00,
511551,MONARCH     ,X ,Q,65.00,65.00,61.10,62.40,62.40,63.40,49,7585,478727.00,
511557,PRO FIN CAP.,X ,Q,32.50,33.30,30.00,31.00,30.00,30.30,78,17755,578455.00,
511559,TIMES GUARAN,B ,Q,25.50,26.40,24.50,25.35,25.35,25.50,81,1185,29764.00,
511571,SOMDATT FIN ,X ,Q,14.55,14.55,13.20,14.55,14.55,13.86,73,25673,370597.00,
511585,REGENCY TRUS,XT,Q,2.02,2.02,2.02,2.02,2.02,2.03,1,100,202.00,
511589,AVONMORE    ,X ,Q,17.05,17.05,16.10,16.25,16.50,16.70,47,11213,185976.00,
511593,LIBORD FIN  ,X ,Q,5.74,5.74,5.74,5.74,5.74,5.63,14,1040,5969.00,
511597,PALSOFT INFO,XT,Q,4.00,4.00,4.00,4.00,4.00,4.09,1,1,4.00,
511601,YASH MANAGE.,X ,Q,14.60,15.00,14.60,14.84,14.90,14.83,23,2576,38110.00,
511605,ARIHANT CAP.,X ,Q,85.65,86.50,84.25,84.70,84.70,85.40,77,4533,386044.00,
511609,ISL CONSULT ,X ,Q,10.81,10.81,10.81,10.81,10.81,10.81,1,1,10.00,
511611,DCM FINANCIA,T ,Q,1.67,1.67,1.67,1.67,1.67,1.75,7,2301,3842.00,
511628,IMCAP       ,X ,Q,48.00,48.10,45.00,48.10,48.00,45.85,16,1497,71775.00,
511630,SAMBHAAV MED,B ,Q,2.69,2.76,2.64,2.70,2.70,2.76,14,2771,7363.00,
511658,NETTLINX LTD,X ,Q,68.00,68.00,67.05,67.50,67.50,67.20,14,4071,274144.00,
511672,SCANSTL     ,XT,Q,19.45,19.70,18.00,19.65,19.65,18.85,13,2952,54410.00,
511676,GIC HOUSING ,A ,Q,119.00,120.90,118.55,120.20,120.20,117.75,238,7386,881484.00,
511710,CUBICAL FIN.,X ,Q,3.08,3.20,2.80,3.07,3.06,3.08,59,68100,208617.00,
511712,RELIC TECHNO,X ,Q,13.90,13.90,13.71,13.71,13.71,14.43,2,1025,14242.00,
511714,NIMBSPROJ   ,XT,Q,20.90,21.90,20.90,21.90,21.90,22.00,3,11,230.00,
511716,ESCORT FINAN,XT,Q,4.20,4.35,3.98,4.12,4.35,4.18,28,7396,30229.00,
511724,BAID LEASING,X ,Q,30.60,34.35,30.40,30.70,30.70,30.30,28,1011,33165.00,
511726,VIPUL LTD   ,B ,Q,23.05,23.05,22.70,22.85,22.85,22.50,59,3119,70881.00,
511728,KZ LEAS FIN.,X ,Q,10.36,10.36,10.15,10.35,10.35,9.87,9,3456,35718.00,
511730,TRC FINAN.SE,X ,Q,8.37,8.37,8.36,8.36,8.36,7.98,5,295,2466.00,
511736,USHDEV INTNL,XT,Q,0.24,0.24,0.24,0.24,0.24,0.25,26,69839,16761.00,
511742,UGROCAP     ,X ,Q,118.70,118.70,104.15,115.80,116.95,108.50,118,24067,2663733.00,
511754,SHALIB.FINAN,X ,Q,78.00,79.85,75.50,79.85,79.85,79.15,11,46407,3618607.00,
511756,ABIRAMI FIN.,Z ,Q,4.72,4.72,4.40,4.40,4.40,4.50,9,253,1162.00,
511764,UPASANA FIN.,X ,Q,15.20,15.85,14.90,15.20,15.20,15.11,21,3061,46597.00,
511766,MUTHOOT CAP ,B ,Q,396.70,400.00,390.00,399.90,400.00,392.20,116,1863,739635.00,
511768,MASTER TRUST,X ,Q,22.30,22.30,20.25,20.40,22.15,21.25,9,1393,29979.00,
512018,CNI RES LTD ,XT,Q,1.54,1.69,1.54,1.54,1.54,1.61,11,3286,5210.00,
512020,SARASW.COMM.,X ,Q,922.00,942.00,917.00,936.05,942.00,942.00,29,57,52756.00,
512047,ROYAL IND   ,X ,Q,1.03,1.03,1.03,1.03,1.03,1.03,2,15,15.00,
512048,LUHARUKA    ,X ,Q,0.57,0.59,0.57,0.57,0.57,0.59,6,26423,15065.00,
512068,DECCANGOLD  ,X ,Q,17.70,17.70,17.35,17.60,17.70,16.90,396,158652,2805552.00,
512070,UPL         ,A ,Q,532.00,545.55,531.00,543.80,543.80,534.35,2949,155450,83816732.00,
512093,CRANES SOFTW,XT,Q,1.33,1.33,1.29,1.33,1.33,1.31,153,385797,505043.00,
512131,SIGNET IND  ,B ,Q,33.00,33.25,32.00,32.15,32.05,32.75,119,11601,377050.00,
512161,SECURKLOUD  ,B ,Q,97.00,99.90,97.00,99.90,99.90,95.15,550,29412,2930245.00,
512165,ABANSENT    ,X ,Q,135.00,140.00,111.00,115.25,115.00,133.00,129,17742,2172709.00,
512169,CAPRICORN   ,XT,Q,8.22,8.22,8.22,8.22,8.22,8.22,1,50,411.00,
512175,VAMA INDS   ,X ,Q,7.60,7.60,7.01,7.32,7.32,7.41,25,29900,221673.00,
512179,SUNTECK REAL,A ,Q,377.90,386.15,370.45,381.85,381.85,372.30,945,29165,10981260.00,
512197,SILVEROAK   ,Z ,Q,3.85,3.85,3.85,3.85,3.85,4.05,3,261,1004.00,
512217,PRISM MEDI  ,X ,Q,31.50,31.50,28.70,31.40,31.40,31.30,38,18669,582222.00,
512229,VERITAS     ,XT,Q,48.35,48.35,48.35,48.35,48.35,47.45,5,292,14118.00,
512237,JAI CORP LTD,A ,Q,89.35,91.10,89.20,89.90,89.90,89.40,322,28958,2613301.00,
512247,ASHIRWAD CAP,XT,Q,3.99,3.99,3.66,3.83,3.85,3.84,132,20836,78966.00,
512257,SVARTCORP   ,X ,Q,3.92,3.99,3.81,3.84,3.81,3.92,39,16812,65316.00,
512267,MEDIA MATRIX,X ,Q,5.40,5.40,5.12,5.26,5.26,5.25,65,24033,125103.00,
512279,NNTL        ,Z ,Q,7.07,7.07,7.07,7.07,7.07,7.21,1,1,7.00,
512289,SHIRPUR GOLD,Z ,Q,8.08,8.20,7.48,8.18,8.18,7.86,28,9847,79466.00,
512296,BHAGYA INL  ,B ,Q,33.25,33.45,33.20,33.35,33.20,33.70,4,968,32272.00,
512329,KRL         ,XT,Q,98.70,103.60,98.70,98.95,103.60,98.70,4,63,6232.00,
512344,ARAVALI SEC.,X ,Q,1.59,1.59,1.59,1.59,1.59,1.52,2,51,81.00,
512379,CRESSANDA SO,XT,Q,0.73,0.73,0.71,0.71,0.71,0.72,224,411688,293049.00,
512381,STARTECK    ,X ,Q,86.30,87.90,81.40,87.40,87.40,83.75,325,36902,3079438.00,
512393,SHARDUL SECU,XT,Q,49.00,49.30,49.00,49.30,49.30,49.00,10,841,41244.00,
512425,NIRAV COMMER,X ,Q,212.65,212.65,212.65,212.65,212.65,202.55,2,12,2551.00,
512437,APOLLO FIN I,X ,Q,310.00,318.95,300.00,313.65,314.00,312.85,61,803,246839.00,
512453,SHRI JAGDAMB,X ,Q,552.00,574.45,552.00,561.25,563.25,574.45,220,2760,1551587.00,
512455,LLOYDS MET E,XT,Q,11.95,12.35,11.95,12.27,12.28,11.99,117,45816,557137.00,
512463,SHREE GLOBAL,XT,Q,1.94,1.94,1.85,1.85,1.85,1.94,40,7676,14342.00,
512477,BETEX INDIA ,X ,Q,25.25,25.25,25.25,25.25,25.25,24.05,3,135,3408.00,
512493,GARNET INTL ,X ,Q,33.95,33.95,32.15,32.35,32.35,32.80,16,2404,80500.00,
512499,SHALIMAR PRO,X ,Q,0.68,0.68,0.67,0.68,0.68,0.67,696,2114290,1436424.00,
512519,DONEAR IND. ,B ,Q,33.60,35.15,33.00,34.00,33.95,33.60,170,4569,155752.00,
512527,SUPER SAL IN,X ,Q,440.00,449.00,439.00,440.00,440.00,440.00,29,601,265141.00,
512529,SEQUENT     ,A ,Q,249.25,250.05,240.20,248.35,249.50,247.25,2602,110046,27034690.00,
512531,STC INDIA   ,B ,Q,78.35,80.00,76.80,77.20,77.35,80.15,171,8899,692256.00,
512553,ZENITH EXP. ,B ,Q,61.60,67.65,61.60,64.45,64.45,63.50,15,1237,79726.00,
512565,R.T.EXPORTS ,X ,Q,3.61,3.61,3.61,3.61,3.61,3.80,1,3,10.00,
512573,AVANTI FEEDS,A ,Q,504.05,510.45,504.00,505.60,505.60,503.30,588,7473,3784240.00,
512587,ZODIAC JRD  ,B ,Q,27.50,28.30,26.85,27.50,27.50,27.25,45,1167,32144.00,
512597,KEYFINSER   ,B ,Q,64.00,64.40,63.00,64.35,64.35,63.50,12,354,22606.00,
512599,ADANI ENTER ,A ,Q,649.00,660.40,645.50,658.75,658.75,650.90,4495,212497,138604519.00,
512604,HARIA EXPORT,X ,Q,0.98,0.98,0.98,0.98,0.98,1.03,1,1120,1097.00,
512608,BHANDARI HOS,T ,Q,2.47,2.47,2.40,2.40,2.40,2.52,111,238818,574164.00,
512618,RLF LIMITED.,XT,Q,5.66,5.66,5.66,5.66,5.66,5.77,2,18,101.00,
512626,ORBIT EXPORT,B ,Q,64.50,66.05,64.00,64.50,64.25,63.90,43,2438,158098.00,
512634,SAVERA IND  ,X ,Q,39.00,42.85,37.00,40.85,42.30,41.50,15,515,20819.00,
513005,VBC FERRO   ,XT,Q,12.90,13.54,12.44,13.54,13.54,12.90,9,2005,26679.00,
513010,TATASTLLP   ,A ,Q,648.80,666.00,644.70,654.90,653.70,644.60,281,3164,2084966.00,
513023,NAV BHAR VEN,A ,Q,61.25,62.30,60.40,60.65,60.55,61.25,309,67672,4137329.00,
513043,REMI EDEL   ,X ,Q,18.10,18.10,18.00,18.10,18.10,17.25,16,6232,112789.00,
513059,G.S.AUTO INT,XT,Q,4.63,4.63,4.63,4.63,4.63,4.63,3,115,532.00,
513063,TRANSFREIGHT,XT,Q,12.14,12.14,12.14,12.14,12.14,11.91,16,1179,14313.00,
513097,SHIV.BIMETAL,X ,Q,87.00,88.85,81.50,82.80,83.00,86.90,626,94977,7986502.00,
513108,GANDHI SP.TU,B ,Q,294.00,294.00,289.85,290.55,290.10,288.35,46,219,63822.00,
513117,AMFORGE IND.,XT,Q,2.59,2.59,2.59,2.59,2.59,2.64,2,600,1554.00,
513121,ORICON ENT  ,T ,Q,23.75,24.90,23.40,24.45,24.25,23.75,73,36408,887786.00,
513142,BALASORE    ,Z ,Q,9.71,10.22,9.30,9.50,9.42,9.74,256,70121,666640.00,
513173,STL STR INF ,X ,Q,4.40,4.41,4.40,4.41,4.41,4.57,5,898,3958.00,
513179,NAT STL AGRO,T ,Q,5.56,5.56,5.04,5.04,5.04,5.30,74,106661,588556.00,
513216,UTTAM GALVA ,T ,Q,7.52,8.10,7.50,7.62,7.59,7.86,155,65554,511169.00,
513228,PENNAR STEEL,B ,Q,22.20,22.50,21.50,22.30,22.00,22.20,142,18404,404025.00,
513250,JYOTI STRUCT,Z ,Q,5.32,5.32,5.32,5.32,5.32,5.60,7,10650,56658.00,
513252,JAY USHIN   ,X ,Q,460.00,480.00,450.05,480.00,480.00,460.50,8,34,15823.00,
513262,ST.STR.WHEEL,B ,Q,621.00,632.10,621.00,631.20,631.15,617.65,67,626,392718.00,
513269,MAN IND.(I) ,B ,Q,76.00,76.30,74.00,74.30,74.50,76.05,643,70068,5244279.00,
513295,IMEC        ,X ,Q,1.89,1.89,1.85,1.85,1.85,1.80,9,1250,2354.00,
513303,MODERN STEEL,X ,Q,3.15,3.15,3.15,3.15,3.15,3.00,1,250,787.00,
513305,TERRASCOPE  ,X ,Q,1.72,1.72,1.72,1.72,1.72,1.81,23,22165,38123.00,
513307,SYNTHIKO FOI,XT,Q,22.80,24.00,22.80,23.80,23.80,24.00,8,2007,45767.00,
513309,GOLKONDA    ,Z ,Q,4.71,4.94,4.71,4.94,4.94,4.71,6,5607,26600.00,
513335,METALFORGE  ,B ,Q,5.25,5.25,5.25,5.25,5.25,5.00,4,2046,10741.00,
513337,GUJ.TOOLROOM,XT,Q,8.00,8.00,7.95,7.95,7.95,8.35,3,60,479.00,
513343,GRAND FOUND ,B ,Q,2.31,2.31,2.30,2.30,2.30,2.20,8,2242,5168.00,
513349,AJMERA      ,B ,Q,129.60,132.95,129.30,129.70,129.30,128.30,143,2947,384309.00,
513353,COCHIN MIN. ,X ,Q,143.40,145.00,141.70,144.05,144.00,140.65,58,3276,471310.00,
513361,ISW LTD     ,XT,Q,0.78,0.78,0.74,0.78,0.78,0.75,54,109764,85568.00,
513369,RAJKUMAR FRG,X ,Q,34.10,37.00,34.10,36.45,37.00,34.80,19,1114,39464.00,
513375,CARBORUNDUM ,A ,Q,519.60,529.90,516.65,518.60,525.00,524.35,363,7313,3818434.00,
513377,MINERAL&METL,A ,Q,28.70,29.55,28.65,28.90,28.90,29.05,1019,255269,7417490.00,
513401,ASHIANA ISP.,X ,Q,13.15,13.15,12.07,12.07,12.07,12.70,3,21,270.00,
513403,PM TELELINN ,X ,Q,3.40,3.40,3.40,3.40,3.40,3.33,2,400,1360.00,
513430,MAITRI      ,XT,Q,6.22,6.22,6.22,6.22,6.22,6.50,2,85,528.00,
513434,TATA METALIK,A ,Q,778.80,792.35,771.40,780.40,780.10,774.90,1619,93855,73265498.00,
513446,JSWISPL     ,B ,Q,26.05,27.00,25.50,26.40,26.00,26.20,84,20201,531097.00,
513452,ELANGO INDUS,XT,Q,2.05,2.10,2.05,2.10,2.10,2.00,9,357,742.00,
513456,KANISHK ST. ,XT,Q,12.70,12.83,11.61,12.80,12.80,12.22,15,6914,81405.00,
513460,MAHALAXMI SM,Z ,Q,4.00,4.00,4.00,4.00,4.00,4.00,3,129,516.00,
513472,SIMPLEX CAST,X ,Q,19.05,19.65,18.50,19.45,19.45,19.45,11,1503,28611.00,
513488,SH.STEEL WIR,X ,Q,23.85,23.85,22.00,22.25,22.00,23.00,19,1574,35307.00,
513502,BARODA EXTR.,XT,Q,0.65,0.68,0.62,0.66,0.67,0.65,174,382885,244704.00,
513509,KALYANI FORG,T ,Q,146.90,149.50,146.90,149.40,149.40,146.90,18,1207,177536.00,
513511,PANCH.STEEL ,X ,Q,40.75,40.75,36.20,37.50,37.10,39.15,26,2020,75617.00,
513513,ADITYA ISPAT,X ,Q,4.95,4.95,4.95,4.95,4.95,5.20,3,215,1064.00,
513515,S.R.INDUS.  ,XT,Q,3.30,3.31,3.29,3.31,3.31,3.16,27,16771,55473.00,
513517,STEELCAST   ,X ,Q,146.25,148.00,146.25,147.90,146.25,150.50,7,134,19826.00,
513519,PITTIENG    ,B ,Q,66.30,68.20,63.25,65.20,65.05,66.30,541,89090,5800970.00,
513528,GLITTEK GRAN,X ,Q,1.76,1.76,1.76,1.76,1.76,1.68,6,694,1221.00,
513532,PRADEEP MET.,X ,Q,57.85,59.45,56.25,58.05,58.50,55.90,43,32882,1869443.00,
513536,GNRL        ,XT,Q,18.95,19.00,18.26,18.97,19.00,18.63,79,43852,804781.00,
513548,SHARDA ISPAT,XT,Q,73.00,73.00,73.00,73.00,73.00,74.45,11,112,8176.00,
513554,MAHA STEEL  ,B ,Q,103.85,108.45,102.95,106.05,106.05,103.10,137,1466,154784.00,
513566,NOVA IRON&ST,XT,Q,7.53,7.53,7.53,7.53,7.53,7.68,1,1000,7530.00,
513579,FOUNDRY FUEL,Z ,Q,1.10,1.19,1.10,1.19,1.19,1.14,2,10,11.00,
513599,HIND.COPPER ,A ,Q,74.75,76.40,73.65,74.10,74.10,73.90,2437,482323,36205893.00,
513605,SRIPIPES    ,A ,Q,164.00,165.60,160.40,164.95,164.50,163.10,449,19205,3129137.00,
513642,AXEL POLYMER,XT,Q,13.10,13.40,13.10,13.10,13.10,13.10,7,1600,21085.00,
513683,NLCINDIA    ,A ,Q,53.80,54.00,52.30,52.90,52.90,57.80,1987,389440,20647950.00,
513687,SPECTRA IND.,XT,Q,3.26,3.26,3.26,3.26,3.26,3.20,2,200,652.00,
513691,JMT AUTO LTD,T ,Q,2.94,2.99,2.87,2.93,2.90,2.89,115,26709,77848.00,
513693,KIC METALIKS,X ,Q,39.00,40.00,38.00,38.55,38.00,36.95,25,11618,461853.00,
513699,SOLID STONE ,X ,Q,47.05,47.05,47.05,47.05,47.05,52.25,16,143324,6743394.00,
513709,SHILP GRAVUR,X ,Q,95.05,98.15,94.50,94.90,94.90,96.05,165,7414,712331.00,
513713,WHITEORG    ,X ,Q,5.08,5.17,5.05,5.06,5.09,5.07,54,34416,174512.00,
513723,HIMALAYA GR.,X ,Q,19.80,19.80,19.80,19.80,19.80,19.80,6,91,1801.00,
513729,ARO GRANITE ,B ,Q,44.25,44.40,42.25,43.05,43.05,43.85,111,7560,325630.00,
514010,HIM.FIBRES  ,XT,Q,3.23,3.24,3.23,3.24,3.24,3.18,9,1492,4833.00,
514028,RAJKAMAL SYN,X ,Q,4.54,4.54,4.54,4.54,4.54,4.33,1,1,4.00,
514030,DEEPAK SPINN,X ,Q,101.75,105.00,99.25,99.80,99.25,103.20,89,7827,803133.00,
514034,JBF IND.LTD ,B ,Q,14.03,14.07,13.51,13.94,14.00,13.98,90,28598,395986.00,
514036,LOY.TEX MILL,X ,Q,520.00,530.00,500.15,529.90,529.90,520.05,35,1099,579286.00,
514043,HIMAT.SEIDE ,A ,Q,150.40,156.70,149.85,153.50,153.50,151.55,445,24677,3815532.00,
514045,BSL LTD.    ,B ,Q,32.00,33.35,32.00,33.05,33.05,32.20,26,3056,100918.00,
514087,PBM POLYTEX ,X ,Q,59.95,59.95,59.65,59.65,59.65,56.00,6,166,9944.00,
514113,ADHINATH TEX,XT,Q,4.43,4.51,4.43,4.51,4.51,4.43,11,1352,6089.00,
514138,SURYALATA SP,XT,Q,122.35,129.95,122.35,128.95,128.95,128.50,18,627,80005.00,
514140,SURYAVA SPIN,XT,Q,4.20,4.20,3.93,4.19,4.19,4.00,6,899,3737.00,
514142,TT LTD.     ,B ,Q,50.15,50.15,47.25,49.40,49.40,50.50,66,1206,58472.00,
514144,UNIWORTH LTD,XT,Q,0.42,0.42,0.42,0.42,0.42,0.40,10,2254,946.00,
514162,WELSPUN (I) ,A ,Q,68.70,68.80,67.55,68.35,68.10,67.85,369,46247,3159017.00,
514165,IND.ACRYLICS,X ,Q,10.80,10.80,10.26,10.57,10.57,10.60,157,92471,975587.00,
514167,GANESH ECOSP,B ,Q,551.90,562.30,530.05,560.30,560.30,543.60,630,31773,17120795.00,
514171,CEETA IND.  ,XT,Q,4.12,4.12,4.12,4.12,4.12,4.12,1,79,325.00,
514175,VARDHMAN POL,B ,Q,14.50,14.66,13.64,13.93,14.25,14.17,23,4566,64146.00,
514183,BLA ROS IND ,X ,Q,138.80,140.00,133.00,139.50,140.00,137.70,686,46963,6533236.00,
514215,BINNY LTD.  ,X ,Q,89.85,89.85,83.55,87.60,88.95,86.85,122,14392,1240687.00,
514223,RAMGOPAL POL,XT,Q,1.81,1.81,1.81,1.81,1.81,1.90,4,245,443.00,
514234,SANGAM INDIA,T ,Q,76.00,77.95,76.00,76.15,77.90,76.65,13,2882,219464.00,
514240,KUSHIND     ,X ,Q,1.76,1.76,1.76,1.76,1.76,1.79,5,2026,3565.00,
514264,SEASONS TEXT,XT,Q,6.23,6.23,6.23,6.23,6.23,6.23,3,5,31.00,
514266,ZENITH FIBRE,X ,Q,40.35,41.90,40.10,41.35,41.05,40.35,13,2438,100284.00,
514272,BHILWARA SP.,X ,Q,13.30,14.00,13.30,13.88,13.90,14.00,11,10850,150545.00,
514274,AARVEE DENIM,B ,Q,18.80,20.95,18.80,20.40,20.95,20.40,52,3564,71346.00,
514286,ASHIMA LTD. ,B ,Q,12.88,13.19,12.79,13.19,13.19,13.15,18,4516,58763.00,
514300,PIONEER EMB ,B ,Q,45.05,46.50,38.90,40.00,39.75,44.70,480,14852,611211.00,
514302,VIPPY SPIN. ,X ,Q,38.35,39.00,38.35,39.00,39.00,40.10,3,39,1516.00,
514312,JAY HIND SYN,XT,Q,2.80,2.80,2.79,2.79,2.79,2.80,6,1006,2806.00,
514316,RAGHUVIR SYN,X ,Q,218.00,218.05,218.00,218.00,218.00,218.00,3,110,23980.00,
514318,JATTAINDUS  ,P ,Q,17.70,17.70,17.70,17.70,17.70,16.90,3,300,5310.00,
