SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
514322,KAMADGIRI   ,X ,Q,34.00,34.00,32.45,32.80,33.00,33.00,7,427,14325.00,
514324,OMNITEX IND.,XT,Q,25.90,25.90,24.50,24.50,24.50,24.70,4,1300,33250.00,
514326,PATSPIN INDI,B ,Q,5.92,5.92,5.92,5.92,5.92,5.70,1,1,5.00,
514330,ONEGLOBAL   ,X ,Q,3.31,3.31,3.31,3.31,3.31,3.16,2,301,996.00,
514332,NEOINFRA    ,X ,Q,14.00,14.00,14.00,14.00,14.00,14.25,1,50,700.00,
514354,PREMIER POLY,B ,Q,40.70,40.70,40.00,40.50,40.45,40.10,36,1578,63682.00,
514358,EVERLON SYN.,X ,Q,10.65,10.65,10.65,10.65,10.65,10.65,4,11,117.00,
514360,KRRAIL      ,X ,Q,15.25,15.25,13.71,14.26,14.26,14.97,30,1289,18813.00,
514394,AJIL        ,X ,Q,36.15,37.00,33.80,34.40,34.40,35.40,149,16115,563120.00,
514400,GARWARE SYN.,X ,Q,3.55,3.55,3.55,3.55,3.55,3.62,3,26,92.00,
514412,SARUPINDUS  ,X ,Q,18.45,18.45,17.69,17.69,17.69,17.65,10,231,4172.00,
514418,MANORG      ,X ,Q,506.00,539.95,504.40,534.45,534.45,508.15,1045,45333,24111150.00,
514428,HINDU.ADHESI,X ,Q,124.95,146.40,124.95,146.00,146.35,122.00,246,25056,3596556.00,
514442,SRI KPR IND ,X ,Q,12.70,13.25,12.70,12.77,12.70,13.33,6,550,6999.00,
514448,JYOTI RESINS,X ,Q,404.95,420.00,399.00,407.80,407.80,398.25,280,12757,5240187.00,
514450,MAHA.RUBTECH,X ,Q,44.75,44.75,41.50,43.30,43.30,40.30,47,10079,430568.00,
514470,WIMSOME TEXT,T ,Q,30.30,33.20,30.25,30.90,30.90,31.80,34,4158,128183.00,
