Date,Open,High,Low,Close,% Return,% YTD
2014-09-02,10233.37,10311.41,10232.79,10291.36,0.6960711217566917,87.25309385737161
2014-09-03,10330.54,10372.95,10313.1,10343.89,0.5104281649849884,86.30215518533164
2014-09-04,10344.73,10346.19,10261.6,10320.48,-0.2263171785469531,86.72474536068091
2014-09-05,10335.99,10365.44,10278.45,10321.39,0.008817419344842037,86.70828250846058
2014-09-08,10364.58,10449.51,10364.58,10441.89,1.1674784113380188,84.5536583894295
2014-09-09,10450.59,10460.64,10408.1,10446.2,0.04127605251540434,84.47751335413834
2014-09-10,10435.02,10440.53,10372.14,10387.06,-0.5661388830388248,85.52785870111465
2014-09-11,10421.66,10437.03,10363.61,10406.35,0.18571183761335597,85.18395018426249
2014-09-12,10426.05,10445.24,10397.23,10431.17,0.23850821853963478,84.74332217766558
2014-09-15,10413.08,10413.08,10347.83,10378.28,-0.5070380407950381,85.68481482480719
2014-09-16,10391.91,10400.99,10165.65,10177.81,-1.931630289412134,89.34220623100649
2014-09-17,10228.71,10251.83,10160.68,10222.02,0.43437635404866004,88.5233055697406
2014-09-18,10224.68,10416.07,10187.79,10409.32,1.8323188567425985,85.13111327156817
2014-09-19,10425.54,10478.05,10385.76,10402.83,-0.06234797277824278,85.24661077802867
2014-09-22,10379.88,10445.79,10344.88,10425.52,0.21811372482296587,84.84344186189273
2014-09-23,10441.18,10457.45,10242.3,10252.09,-1.663514146056988,87.97035531291668
2014-09-24,10269.15,10276.55,10135.46,10210.35,-0.40713649607055924,88.73877976758875
2014-09-25,10230.92,10233.27,10024.12,10062.89,-1.4442208151532632,91.50452802326173
2014-09-26,10050.43,10161.5,9972.19,10144.61,0.8120927487034191,89.9618615205513
2014-09-29,10170.14,10205.78,10127.93,10162.47,0.17605408192131744,89.62801366203297
2014-09-30,10168.2,10259.95,10125.67,10173.26,0.10617497517828589,89.42688970890353
2014-10-01,10189.01,10202.26,10138.84,10146.17,-0.2662863231648438,89.93265439077011
2014-10-07,10132.31,10160.04,10024.17,10033.41,-1.1113553192978243,92.06720347319606
2014-10-08,10025.08,10061.25,9986.6,10021.16,-0.12209209032622015,92.30198899129442
2014-10-09,10067.89,10186.85,10067.78,10172.99,1.5150940609669927,89.4319172632628
2014-10-10,10138.17,10138.17,10028.72,10039.93,-1.3079733686949369,91.94247370250588
2014-10-13,10035.87,10093.61,9972.24,10076.44,0.3636479537207915,91.24700787182773
2014-10-14,10118.24,10130.82,10022.95,10057.48,-0.1881616920261564,91.60753986087965
2014-10-16,10033.59,10088.85,9853.35,9877.16,-1.7928944427431093,95.10557690672216
2014-10-17,9873.23,9963.68,9840.84,9919.11,0.4247172264092214,94.28043443413772
2014-10-20,10030.66,10077.85,10015.28,10045.1,1.2701744410536842,91.84368498073687
2014-10-21,10083.55,10124.43,10054.57,10113.76,0.6835173368109793,90.54130214677825
2014-10-22,10176.83,10216.14,10176.59,10206.95,0.9214179494075436,88.80164985622541
2014-10-23,10253.35,10265.68,10243.59,10254.7,0.4678184962207066,87.92251357913929
2014-10-27,10286.69,10301.51,10205.71,10214.15,-0.39542843769199143,88.66856272915516
2014-10-28,10225.25,10259.4,10212.94,10251.4,0.36469016021891676,87.98300719901673
2014-10-29,10288.3,10332.22,10282.82,10324.42,0.7122929551085733,86.65348755668599
2014-10-30,10332.47,10423.85,10325.16,10417.0,0.8967089676708229,84.9946241720265
2014-10-31,10448.72,10602.46,10448.72,10594.89,1.707689353940678,81.8885330569737
2014-11-03,10628.58,10639.14,10585.96,10622.42,0.2598422447047666,81.41713470188525
2014-11-05,10643.5,10690.14,10625.09,10636.17,0.1294431965597198,81.18260614488109
2014-11-07,10641.63,10671.13,10583.35,10650.66,0.13623324937452885,80.93611100157172
2014-11-10,10671.07,10711.28,10621.55,10656.54,0.05520784627432995,80.83627518875731
2014-11-11,10675.78,10716.85,10645.6,10697.67,0.38596017093728285,80.14100266693586
2014-11-12,10717.64,10779.7,10717.12,10736.99,0.3675566735560132,79.48130714473982
2014-11-13,10758.38,10776.13,10659.78,10702.54,-0.320853423538614,80.05903271559833
