SC_CODE,SC_NAME,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Spread High-Low,Spread Close-Open,Deliverable Quantity,% Deli. Qty to Traded Qty
500120,DIAMINES&CHM,311.0,315.0,300.5,310.7,309.0175904130109,23365,618,7220196.0,14.5,-0.30000000000001137,127415,94.14
500123,ELANTAS     ,2959.0,3000.0,2725.0,2998.25,2943.044936284373,2982,135,8776160.0,275.0,39.25,1294,81.59
500124,DR.REDDY'S  ,4821.1,4860.8,4810.0,4824.9,4829.838789072114,12189,1236,58870905.0,50.80000000000018,3.7999999999992724,2310,19.42
500125,E.I.D.PAR   ,329.2,333.55,327.1,328.6,330.20856967129095,14633,678,4831942.0,6.449999999999989,-0.5999999999999659,22482,51.37
500126,PGHL        ,7499.95,7499.95,7252.3,7413.2,7393.835582208895,2001,679,14795065.0,247.64999999999964,-86.75,707,72.59
500128,ELEC.CASTING,21.5,22.55,21.4,22.3,21.95787636850409,209170,528,4592929.0,1.1500000000000021,0.8000000000000007,56906,61.53
500133,ESAB INDIA  ,1950.0,1950.0,1851.5,1861.95,1872.6061185468452,1046,275,1958746.0,98.5,-88.04999999999995,369,62.86
500135,EPL         ,205.0,223.2,205.0,220.95,214.18284196507324,400209,10503,85717901.0,18.19999999999999,15.949999999999989,61383,48.56
500136,ESTER INDUS.,107.4,109.75,105.4,107.6,107.29715214820655,20296,305,2177703.0,4.349999999999994,0.19999999999998863,18995,18.85
500143,P.H.CAPITAL ,18.7,18.7,18.7,18.7,18.7,210,3,3927.0,0.0,0.0,10,100.0
500144,FINOL. CABLE,371.0,385.4,369.85,375.0,378.02091161574907,24484,790,9255464.0,15.549999999999955,4.0,16617,16.65
500147,COCKERILL   ,824.95,845.0,804.05,825.0,824.5636942675159,942,24,776739.0,40.950000000000045,0.049999999999954525,1098,68.24
500148,UFLEX LTD   ,357.0,364.5,355.3,362.55,360.528220768722,27214,918,9811415.0,9.199999999999989,5.550000000000011,12503,43.92
500150,FOSECO INDIA,1302.0,1302.0,1254.5,1283.9,1273.2610229276895,567,98,721939.0,47.5,-18.09999999999991,163,86.24
500151,GOLDEN TOB  ,46.7,46.7,45.9,45.95,46.132462686567166,536,22,24727.0,0.8000000000000043,-0.75,470,74.84
500153,GANESH BENZO,61.95,63.9,61.5,61.85,62.165985257691965,33509,278,2083120.0,2.3999999999999986,-0.10000000000000142,73708,79.74
500159,METROGLOBL  ,55.0,58.0,53.55,56.85,55.912349676225716,4324,40,241765.0,4.450000000000003,1.8500000000000014,2174,48.23
500160,GTL LTD.    ,6.7,7.08,6.64,7.05,6.966072154766746,120491,5947,839349.0,0.4400000000000004,0.34999999999999964,218968,71.17
500163,GODFREY PH  ,923.9,936.0,918.0,928.25,928.151492866598,6799,575,6310502.0,18.0,4.350000000000023,1889,10.28
500164,GODREJ IND  ,448.9,452.3,445.6,448.7,448.75552387740555,7015,245,3148020.0,6.699999999999989,-0.19999999999998863,3646,22.01
