DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
12022021,500367,31378,1928179,35349,2177984,88.77
12022021,500368,3603,2518137,5730,4012051,62.88
12022021,500370,1424,38350,1424,38350,100.0
12022021,500378,19642,1414224,57927,4192998,33.91
12022021,500380,13820,5192865,36195,13693707,38.18
12022021,500387,142,3973586,1159,32671294,12.25
12022021,500390,100667,3306911,231469,7519032,43.49
12022021,500400,223036,19471043,1018307,88876442,21.9
12022021,500402,2281,33121,2282,33527,99.96
12022021,500403,2498,1550134,3187,1976119,78.38
12022021,500404,13729,863555,42111,2641129,32.6
12022021,500405,6489,2479123,15795,6143629,41.08
12022021,500407,157,200937,173,222031,90.75
12022021,500408,6622,18778006,28032,79841258,23.62
12022021,500410,19478,34406914,149764,265696355,13.01
12022021,500411,8533,9713968,10043,11541338,84.96
12022021,500412,30225,2996809,106518,10598948,28.38
12022021,500413,66089,3135924,157298,7533211,42.02
12022021,500414,46769,1452178,50128,1586161,93.3
12022021,500418,1144,80309,1533,107089,74.62
12022021,500420,7695,20023545,21875,57156833,35.18
12022021,500422,5711,110508,9750,184519,58.57
12022021,500425,145364,40323974,686540,192770994,21.17
12022021,500426,2266,36051,2266,36051,100.0
12022021,500429,1625,129188,1626,130839,99.94
12022021,500439,9,12105,9,12208,100.0
12022021,500440,116176,33772364,635628,185500324,18.28
12022021,500444,20167,3840806,28655,5497908,70.38
12022021,500449,35885,838057,35885,838057,100.0
12022021,500456,168282,2480477,205538,3014375,81.87
12022021,500458,155,350,155,350,100.0
12022021,500459,563,7551773,861,11435972,65.39
12022021,500460,15119,1002390,21647,1428040,69.84
12022021,500463,1206,1099390,1626,1461511,74.17
12022021,500464,3577,473595,8121,1091811,44.05
12022021,500467,15032,1798579,31560,3810978,47.63
12022021,500469,247177,20540409,873617,72898678,28.29
12022021,500470,73341,49904884,458855,315225997,15.98
12022021,500472,4001,9270317,5643,13085535,70.9
12022021,500477,733698,94096769,3742116,482747140,19.61
12022021,500480,9436,7113329,47509,36307703,19.86
12022021,500483,2640,2678544,5418,5541002,48.73
12022021,500488,201,2904491,513,7405843,39.18
12022021,500490,8937,31672728,11226,39813313,79.61
12022021,500493,27596,17617287,247051,158260171,11.17
12022021,500495,10754,15311008,49282,70200315,21.82
12022021,500500,23294,156303,26723,180890,87.17
12022021,500510,32460,49376529,113043,172929359,28.71
12022021,500520,20745,18852019,102328,93234839,20.27
12022021,500530,1667,26038457,5224,82442060,31.91
12022021,500540,32501,129715,32501,129715,100.0
12022021,500547,485247,203003083,584429,245922047,83.03
12022021,500550,3724,6877297,19395,36134393,19.2
12022021,500570,337753,109854164,3578496,1167746963,9.44
12022021,500575,17621,19014822,276594,301928943,6.37
12022021,500620,5220,1341801,14209,3681229,36.74
12022021,500645,19726,3122626,31147,4975381,63.33
12022021,500650,695,596866,1239,1062716,56.09
12022021,500655,252320,175879656,288457,194747148,87.47
12022021,500660,1859,2649168,2568,3681641,72.39
12022021,500670,16220,3656799,47007,10634650,34.51
12022021,500672,4288,2657703,6890,4280294,62.24
12022021,500674,532,4139519,1071,8350361,49.67
12022021,500680,1588,7012291,3288,14641621,48.3
12022021,500690,25986,1997025,85695,6663750,30.32
12022021,500696,12304,27584338,33016,74216518,37.27
12022021,500710,815,1788966,974,2144970,83.68
12022021,500730,89632,14399381,279339,44871879,32.09
12022021,500770,19079,10701412,115365,64841400,16.54
12022021,500777,32275,1378143,53958,2338777,59.82
12022021,500780,34034,3257150,34034,3257150,100.0
12022021,500790,1326,22921369,3486,60623854,38.04
12022021,500800,55939,33982943,146534,89241564,38.17
12022021,500820,22193,55171798,54905,136795545,40.42
12022021,500825,16018,54815198,42275,145586373,37.89
12022021,500830,3905,6215394,11814,18875979,33.05
