units,epochs,batch_size,layers,direction,root_mean_squared_error,mean_absolute_error,mean_squared_error,rsquared_adj
25,100,25,3,0.5177777777777778,0.02035646129008496,0.014430540453873356,0.00041438551625472736,-0.07578136902187982
75,25,48,3,0.49444444444444446,0.019988981820722746,0.014108066895418709,0.00039955939422918447,-0.037291447863246674
75,50,25,3,0.49333333333333335,0.02023488565411189,0.014292097341449204,0.00040945059743498316,-0.06296988426754102
75,25,64,3,0.4888888888888889,0.020039393106361096,0.014148512171922136,0.00040157727607127263,-0.04253004719998499
75,50,32,3,0.4988888888888889,0.0200650731861411,0.014193561999816898,0.00040260716196519855,-0.04520372186631394
75,50,48,3,0.5011111111111111,0.02021517812499538,0.014327413726825541,0.00040865342662529166,-0.06090035849659903
75,50,64,3,0.5,0.020055176910066915,0.014130744743518182,0.0004022101208940811,-0.04417296820748651
75,75,32,3,0.4888888888888889,0.02023317104964862,0.014348532441525908,0.00040938121072433897,-0.06278975024344824
75,75,25,3,0.5,0.02041262706334601,0.014503011831830072,0.000416675343627246,-0.0817259629543512
75,75,48,3,0.49,0.020248348272921702,0.014310566658820103,0.00040999560778153123,-0.064384779223426
75,75,64,3,0.4722222222222222,0.02012581340423692,0.014220715348657601,0.0004050483651821625,-0.051541300849628824
75,100,64,3,0.4822222222222222,0.020288458181251773,0.014356730857204344,0.000411621535372402,-0.06860583073470061
75,100,32,3,0.48444444444444446,0.02056834003314302,0.014595331177158976,0.0004230566117189938,-0.09829229805670114
75,100,48,3,0.49777777777777776,0.020401653483636237,0.014476006454823987,0.00041622746486636656,-0.08056323016656108
75,100,25,3,0.4922222222222222,0.020887381337584287,0.014885447893012495,0.0004362826991416644,-0.13262838818591605
50,25,25,3,0.49666666666666665,0.019933473598816195,0.014060859050499393,0.0003973433697147022,-0.031538452663215644
50,25,48,3,0.5022222222222222,0.020012390967267906,0.014124269335535943,0.00040049579222678613,-0.039722419700568334
50,25,32,3,0.5022222222222222,0.019980301505302906,0.014066918927913638,0.0003992124482428096,-0.03639074546521792
50,25,64,3,0.5066666666666667,0.019924892828948843,0.014042090350927437,0.00039700135424509703,-0.03065055032183084
50,50,25,3,0.4911111111111111,0.020169271106432133,0.01429532391418259,0.0004067994969647581,-0.05608739349168057
50,50,64,3,0.5022222222222222,0.020107716196488747,0.014237419324898717,0.00040432025063853586,-0.04965105123949076
50,50,48,3,0.4922222222222222,0.020155548814463957,0.014283846868510497,0.0004062461480122394,-0.05465085077882792
50,50,32,3,0.5022222222222222,0.020156088515103664,0.014254730357503022,0.0004062679042286938,-0.054707331836693296
50,75,64,3,0.49444444444444446,0.020337109059923142,0.014394719698536108,0.00041359800491520794,-0.07373692008793675
50,75,48,3,0.5,0.020255311021666663,0.014334040429135643,0.000410277624584451,-0.06511691973131395
50,75,25,3,0.49444444444444446,0.02029146028373347,0.014372795971186594,0.00041174336044633283,-0.06892209937748284
50,75,32,3,0.49,0.02020682940323768,0.01430401673190025,0.0004083159545315508,-0.0600242511599034
50,100,64,3,0.4988888888888889,0.020295613840164966,0.01428252502277053,0.00041191194114909577,-0.06935974975881876
50,100,48,3,0.49777777777777776,0.02033950134735923,0.014477011795564418,0.00041369531505922795,-0.07398954580926898
50,100,32,3,0.4688888888888889,0.02036754162302729,0.014441328928061664,0.0004148367517657491,-0.07695281622926697
100,25,25,3,0.5166666666666667,0.01999635111405153,0.0141035387146033,0.00039985405787642994,-0.03805642069506687
50,100,25,3,0.49,0.020354822869382096,0.014474067221737216,0.0004143188140439204,-0.0756082041962669
100,25,32,3,0.5088888888888888,0.0199755840277355,0.014089096501653846,0.00039902395724912164,-0.03590140621159077
100,25,48,3,0.49,0.020051692813328855,0.014167563180609098,0.000402070384680104,-0.04381020066451624
100,25,64,3,0.47333333333333333,0.019998024587978728,0.014088565242967279,0.00039992098742140176,-0.03823017570023346
100,50,32,3,0.5044444444444445,0.020048205593835973,0.014178635428109359,0.00040193054753271594,-0.04344717108950391
100,50,25,3,0.4855555555555556,0.02014502930820911,0.014256361567240106,0.000405822205828604,-0.05355025945792624
100,50,48,3,0.5,0.02010042530930733,0.014196749837162839,0.00040402709761504273,-0.04889000012024147
100,50,64,3,0.49333333333333335,0.02010515107066197,0.014186392364743835,0.00040421709957414023,-0.04938326197341181
100,75,64,3,0.49333333333333335,0.020264184319093808,0.01432876084538626,0.00041063716611820734,-0.06605032128188082
100,75,48,3,0.5,0.020213508154539726,0.01433151170076847,0.00040858591191364404,-0.06072508434710211
100,75,32,3,0.46,0.02048622423812471,0.014556003000201868,0.00041968538353472844,-0.08954029218513293
100,75,25,3,0.49444444444444446,0.02024424418603075,0.014320862918531964,0.00040982942266363994,-0.06395334799182306
100,100,64,3,0.4811111111111111,0.02024765882894979,0.014286227847587403,0.00040996768805354834,-0.06431229714571329
100,100,48,3,0.49333333333333335,0.020313345456621817,0.014370833120235217,0.0004126320036400582,-0.07122909552966061
100,100,32,3,0.4911111111111111,0.02038277678962684,0.014526495152831652,0.00041545758965575065,-0.07856456617961016
100,100,25,3,0.49666666666666665,0.020439880596201714,0.014542449324931473,0.0004177887187869833,-0.08461638312251374
