Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-January-2018,12.50,12.50,11.43,11.43,11.716430359894759469,660582,1072,7739663.00,333610,50.50,1.07,-1.07
15-January-2018,14.07,14.50,12.67,12.69,13.357608295112288235,1549539,2487,20698135.00,681715,43.99,1.83,-1.38
12-January-2018,13.00,14.85,12.66,14.07,14.065187801929080713,5696081,8372,80116449.00,1760241,30.90,2.19,1.07
11-January-2018,10.53,12.62,10.40,12.62,12.155081712671498750,3832025,3894,46578577.00,1331650,34.75,2.22,2.09
10-January-2018,10.30,10.88,10.25,10.52,10.548323788927496636,1074626,1842,11335503.00,387650,36.07,0.63,0.22
9-January-2018,10.30,10.58,9.86,10.25,10.354794983515040701,822568,1290,8517523.00,348951,42.42,0.72,-0.05
8-January-2018,9.30,10.19,9.30,10.07,9.872817137840627335,674344,1114,6657675.00,318832,47.28,0.89,0.77
5-January-2018,9.32,9.60,9.18,9.30,9.336017247448081661,159096,574,1485323.00,98941,62.19,0.42,-0.02
4-January-2018,9.60,9.68,9.20,9.32,9.420356948722594672,220760,517,2079638.00,125552,56.87,0.48,-0.28
3-January-2018,9.65,9.87,9.51,9.62,9.705879414833396230,180188,491,1748883.00,92139,51.13,0.36,-0.03
2-January-2018,10.09,10.12,9.26,9.62,9.686273462091477868,411728,774,3988110.00,229588,55.76,0.86,-0.47
1-January-2018,9.62,10.38,9.53,9.74,10.062271138461416556,1009617,1533,10159040.00,473432,46.89,0.85,0.12
29-December-2017,10.32,10.35,9.18,9.64,9.851503822443636005,894454,1483,8811717.00,396160,44.29,1.17,-0.68
28-December-2017,8.88,10.39,8.86,10.32,9.992289628233259255,2206249,2630,22045479.00,1229751,55.74,1.53,1.44
27-December-2017,8.28,9.15,8.20,8.67,8.750602852133596750,890351,1282,7791108.00,319098,35.84,0.95,0.39
26-December-2017,8.55,8.55,8.15,8.20,8.238735093300589756,215004,304,1771361.00,141078,65.62,0.40,-0.35
22-December-2017,8.40,8.70,8.05,8.37,8.356593467327425802,217124,575,1814417.00,134103,61.76,0.65,-0.03
21-December-2017,8.38,8.74,8.27,8.38,8.484856951952863998,246945,840,2095293.00,114405,46.33,0.47,0.00
20-December-2017,7.61,8.70,7.60,8.06,8.200891944899124276,474693,658,3892906.00,159099,33.52,1.10,0.45
19-December-2017,7.57,7.70,7.55,7.63,7.610727546104513792,32589,71,248026.00,26439,81.13,0.15,0.06
18-December-2017,7.55,7.68,7.35,7.55,7.456166924265842349,64700,111,482414.00,48649,75.19,0.33,0.00
15-December-2017,7.82,7.82,7.63,7.67,7.730978049097285361,38495,97,297604.00,28427,73.85,0.19,-0.15
14-December-2017,7.55,7.77,7.32,7.48,7.473508130397572551,77118,147,576342.00,50250,65.16,0.45,-0.07
13-December-2017,7.97,7.97,7.56,7.61,7.671827995045124756,45208,97,346828.00,24805,54.87,0.41,-0.36
12-December-2017,8.10,8.10,7.58,7.60,7.663246616419482940,61695,111,472784.00,45823,74.27,0.52,-0.50
11-December-2017,7.92,7.92,7.65,7.79,7.758244031610741031,96676,99,750036.00,79971,82.72,0.27,-0.13
8-December-2017,7.65,8.12,7.65,7.80,7.874539628886306820,142005,183,1118224.00,68240,48.05,0.47,0.15
7-December-2017,7.65,7.78,7.51,7.58,7.608273131215427863,66166,103,503409.00,32956,49.81,0.27,-0.07
6-December-2017,7.89,7.89,7.50,7.58,7.640774337052097452,28773,58,219848.00,17669,61.41,0.39,-0.31
5-December-2017,7.74,7.85,7.54,7.79,7.717951541850220264,36320,71,280316.00,14675,40.40,0.31,0.05
4-December-2017,7.75,7.75,7.55,7.60,7.671744527194764161,35448,62,271948.00,32960,92.98,0.20,-0.15
1-December-2017,7.94,7.97,7.55,7.58,7.711173200963053235,134572,173,1037708.00,100994,75.05,0.42,-0.36
30-November-2017,7.93,7.94,7.67,7.77,7.823074024594937142,29193,88,228379.00,20564,70.44,0.27,-0.16
29-November-2017,8.05,8.05,7.85,7.94,7.973423732016725331,42331,89,337523.00,36782,86.89,0.20,-0.11
28-November-2017,7.99,8.21,7.90,7.91,8.023599417488836810,103689,167,831959.00,54430,52.49,0.31,-0.08
27-November-2017,7.78,8.21,7.49,7.87,7.801443185101472809,273423,335,2133094.00,104375,38.17,0.72,0.09
24-November-2017,7.70,7.80,7.60,7.62,7.645637122091773104,23253,60,177784.00,19609,84.33,0.20,-0.08
23-November-2017,7.52,7.83,7.52,7.57,7.649231840103415701,40226,67,307698.00,26446,65.74,0.31,0.05
22-November-2017,7.83,7.83,7.50,7.62,7.648920172772356422,31255,72,239067.00,23074,73.82,0.33,-0.21
21-November-2017,7.83,7.83,7.61,7.78,7.745341614906832298,73738,119,571126.00,56884,77.14,0.22,-0.05
20-November-2017,7.48,7.83,7.30,7.80,7.717952291610828196,93275,123,719892.00,72610,77.85,0.53,0.32
17-November-2017,7.48,7.77,7.48,7.56,7.576145321604021478,17506,58,132628.00,9721,55.53,0.29,0.08
16-November-2017,7.52,7.60,7.47,7.51,7.515530613040258778,25659,64,192841.00,22311,86.95,0.13,-0.01
15-November-2017,7.57,7.79,7.55,7.58,7.621860496860496860,29304,66,223351.00,21660,73.91,0.24,0.01
14-November-2017,7.75,7.75,7.60,7.73,7.675199735262137758,42306,76,324707.00,23806,56.27,0.15,-0.02
13-November-2017,7.66,7.89,7.66,7.77,7.811793443152454780,49536,97,386965.00,33734,68.10,0.23,0.11
10-November-2017,7.77,7.77,7.58,7.69,7.680558247722426826,30954,53,237744.00,25864,83.56,0.19,-0.08
9-November-2017,7.76,7.90,7.65,7.72,7.737310883357735480,16392,75,126830.00,9105,55.55,0.25,-0.04
8-November-2017,7.80,8.17,7.70,7.73,7.866243334554483656,49134,126,386500.00,33851,68.90,0.47,-0.07
7-November-2017,8.00,8.18,7.76,7.80,7.958876686186832307,53449,98,425394.00,32557,60.91,0.42,-0.20
6-November-2017,7.95,8.18,7.95,7.98,8.028640327472423552,148043,207,1188584.00,79938,54.00,0.23,0.03
3-November-2017,8.01,8.25,8.01,8.05,8.100487240691980215,81274,143,658359.00,51726,63.64,0.24,0.04
2-November-2017,7.69,8.28,7.69,8.13,8.044406961927419770,407301,561,3276495.00,176286,43.28,0.59,0.44
1-November-2017,7.70,7.85,7.48,7.60,7.662417072283521851,173193,240,1327077.00,105725,61.04,0.37,-0.10
31-October-2017,7.21,7.74,7.21,7.51,7.515354224016202878,70111,128,526909.00,41226,58.80,0.53,0.30
30-October-2017,7.15,7.35,7.13,7.31,7.278126068619628405,52638,112,383106.00,33393,63.44,0.22,0.16
27-October-2017,7.12,7.35,7.12,7.20,7.238290517182945841,29506,66,213573.00,23549,79.81,0.23,0.08
26-October-2017,7.15,7.21,7.10,7.20,7.170910942956926658,41232,91,295671.00,33949,82.34,0.11,0.05
25-October-2017,7.40,7.40,7.15,7.19,7.256907885376056458,70282,142,510030.00,52920,75.30,0.25,-0.21
24-October-2017,7.25,7.60,7.23,7.31,7.413895923182631392,115703,193,857810.00,68051,58.82,0.37,0.06
23-October-2017,7.54,7.54,7.25,7.28,7.338380584192439862,46560,86,341675.00,33803,72.60,0.29,-0.26
19-October-2017,7.40,7.55,7.26,7.43,7.443311513930849278,23832,38,177389.00,17881,75.03,0.29,0.03
18-October-2017,7.45,7.50,7.40,7.48,7.459132071033752793,17006,39,126850.00,13687,80.48,0.10,0.03
17-October-2017,7.42,7.58,7.42,7.48,7.479689588593494727,26932,51,201443.00,16329,60.63,0.16,0.06
16-October-2017,7.71,7.71,7.40,7.53,7.487710520957561301,34379,70,257420.00,29463,85.70,0.31,-0.18
13-October-2017,7.51,7.61,7.45,7.54,7.535965421585704148,62004,96,467260.00,32676,52.70,0.16,0.03
12-October-2017,7.62,7.62,7.44,7.51,7.491906599386563767,101070,166,757207.00,69515,68.78,0.18,-0.11
11-October-2017,7.63,7.71,7.50,7.53,7.627973099935716758,40446,87,308521.00,27851,68.86,0.21,-0.10
10-October-2017,7.65,8.25,7.58,7.65,7.759251781472684085,336800,538,2613316.00,69780,20.72,0.67,0.00
9-October-2017,7.70,7.86,7.53,7.63,7.759849610911952435,57185,137,443747.00,28067,49.08,0.33,-0.07
6-October-2017,7.75,7.75,7.53,7.64,7.651670117109044278,32363,72,247631.00,19173,59.24,0.22,-0.11
5-October-2017,7.88,7.88,7.70,7.73,7.741296951785284717,29099,68,225264.00,24259,83.37,0.18,-0.15
4-October-2017,7.65,7.79,7.65,7.72,7.688353413654618473,21165,30,162724.00,16965,80.16,0.14,0.07
3-October-2017,7.86,8.03,7.52,7.65,7.761035512777962163,42182,83,327376.00,25494,60.44,0.51,-0.21
29-September-2017,7.81,7.85,7.50,7.70,7.707101977107180020,38440,96,296261.00,24522,63.79,0.35,-0.11
28-September-2017,7.75,7.89,7.71,7.83,7.794536803148681196,85115,126,663432.00,64670,75.98,0.18,0.08
27-September-2017,8.40,8.50,7.70,7.80,8.067046994494091335,211046,342,1702518.00,76650,36.32,0.80,-0.60
26-September-2017,7.79,7.99,7.76,7.88,7.892681604625948680,55340,132,436781.00,27653,49.97,0.23,0.09
25-September-2017,7.62,7.75,7.50,7.72,7.607650424510889627,130032,208,989238.00,75794,58.29,0.25,0.10
