accuracy,confusion matrix,f1_score,mean_absolute_error,mean_squared_error,metric,n_neighbors,precision,recall,root_mean_squared_error,rsquared_adj,security id,threshold,weights
0.9738636363636364,"[[857   0]
 [ 23   0]]",0.0,0.026136363636363635,0.026136363636363635,euclidean,6.0,0.0,0.0,0.1616674476707158,-0.026837806301050593,500680,0.03,uniform
0.9897727272727272,"[[871   0]
 [  9   0]]",0.0,0.010227272727272727,0.010227272727272727,euclidean,4.0,0.0,0.0,0.10112997936948631,-0.010332950631458004,500680,0.04,uniform
0.9954545454545455,"[[876   0]
 [  4   0]]",0.0,0.004545454545454545,0.004545454545454545,euclidean,2.0,0.0,0.0,0.06741998624632421,-0.004566210045662045,500680,0.05,uniform
0.6189944134078212,"[[550   0]
 [341   4]]",0.022922636103151862,0.38100558659217876,0.38100558659217876,euclidean,97.0,1.0,0.011594202898550725,0.6172564998379351,-0.6084057971014492,530965,0.005,uniform
0.729608938547486,"[[653   0]
 [242   0]]",0.0,0.27039106145251396,0.27039106145251396,euclidean,60.0,0.0,0.0,0.519991405171772,-0.37059724349157785,530965,0.01,uniform
0.8670391061452514,"[[776   0]
 [119   0]]",0.0,0.1329608938547486,0.1329608938547486,euclidean,21.0,0.0,0.0,0.36463803127862104,-0.15335051546391765,530965,0.02,uniform
0.9307262569832402,"[[833   0]
 [ 62   0]]",0.0,0.06927374301675977,0.06927374301675977,euclidean,11.0,0.0,0.0,0.263199055881209,-0.07442977190876365,530965,0.03,uniform
0.9631284916201117,"[[862   1]
 [ 32   0]]",0.0,0.03687150837988827,0.03687150837988827,euclidean,6.0,0.0,0.0,0.1920195520770952,-0.06948870220162218,530965,0.04,uniform
0.9810055865921787,"[[878   0]
 [ 17   0]]",0.0,0.01899441340782123,0.01899441340782123,euclidean,2.0,0.0,0.0,0.1378202213313461,-0.019362186788154823,530965,0.05,uniform
0.5935412026726058,"[[531  11]
 [354   2]]",0.010840108401084009,0.4064587973273942,0.4064587973273942,euclidean,94.0,0.15384615384615385,0.0056179775280898875,0.6375412122579953,-0.6987126331937483,532174,0.005,uniform
0.7104677060133631,"[[634   2]
 [258   4]]",0.029850746268656712,0.289532293986637,0.289532293986637,euclidean,36.0,0.6666666666666666,0.015267175572519083,0.5380820513514988,-0.4011714436602809,532174,0.01,distance
0.8363028953229399,"[[751   0]
 [147   0]]",0.0,0.16369710467706014,0.16369710467706014,euclidean,17.0,0.0,0.0,0.40459498844778113,-0.19573901464713694,532174,0.02,uniform
0.9075723830734966,"[[815   0]
 [ 83   0]]",0.0,0.09242761692650334,0.09242761692650334,euclidean,31.0,0.0,0.0,0.3040191061866069,-0.10184049079754587,532174,0.03,uniform
0.9465478841870824,"[[850   0]
 [ 48   0]]",0.0,0.053452115812917596,0.053452115812917596,euclidean,21.0,0.0,0.0,0.23119713625587493,-0.05647058823529427,532174,0.04,uniform
0.9643652561247216,"[[866   0]
 [ 32   0]]",0.0,0.035634743875278395,0.035634743875278395,euclidean,21.0,0.0,0.0,0.1887716712732035,-0.036951501154734556,532174,0.05,uniform
0.6451612903225806,"[[560   3]
 [305   0]]",0.0,0.3548387096774194,0.3548387096774194,euclidean,101.0,0.0,0.0,0.5956833971812706,-0.5569053373322075,532210,0.005,distance
0.7638248847926268,"[[662   0]
 [205   1]]",0.00966183574879227,0.23617511520737328,0.23617511520737328,euclidean,31.0,1.0,0.0048543689320388345,0.4859785131128467,-0.30481330478397317,532210,0.01,uniform
0.880184331797235,"[[764   0]
 [104   0]]",0.0,0.11981566820276497,0.11981566820276497,euclidean,10.0,0.0,0.0,0.3461439992297497,-0.13612565445026203,532210,0.02,uniform
0.9447004608294931,"[[820   0]
 [ 48   0]]",0.0,0.055299539170506916,0.055299539170506916,euclidean,6.0,0.0,0.0,0.23515854050088617,-0.05853658536585349,532210,0.03,uniform
0.9700460829493087,"[[842   0]
 [ 26   0]]",0.0,0.029953917050691243,0.029953917050691243,euclidean,4.0,0.0,0.0,0.17307199961487485,-0.030878859857482288,532210,0.04,uniform
0.9827188940092166,"[[853   0]
 [ 15   0]]",0.0,0.01728110599078341,0.01728110599078341,euclidean,4.0,0.0,0.0,0.13145762051240473,-0.017584994138335253,532210,0.05,uniform
0.65625,"[[543   3]
 [283   3]]",0.02054794520547945,0.34375,0.34375,manhattan,76.0,0.5,0.01048951048951049,0.5863019699779287,-0.5238095238095237,532540,0.005,distance
0.7644230769230769,"[[636   1]
 [195   0]]",0.0,0.23557692307692307,0.23557692307692307,euclidean,41.0,0.0,0.0,0.4853626716970755,-0.3128205128205128,532540,0.01,distance
0.8870192307692307,"[[738   0]
 [ 94   0]]",0.0,0.11298076923076923,0.11298076923076923,euclidean,26.0,0.0,0.0,0.3361261210182411,-0.12737127371273727,532540,0.02,uniform
