features,threshold,pvalue,fvalue,root_mean_squared_error,mean_absolute_error,mean_squared_error,confidence,accuracy,precision,recall,f1_score,f-value,confusion matrix
"['High Price GR', 'No.of Shares GR', 'No. of Trades GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR']",0.070000,0.100000,115.403206,0.057767,0.003337,0.003337,0.996663,0.996663,0.000000,0.000000,0.000000,42.659414,"[[896   0]
 [  3   0]]"
"['High Price GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR']",0.070000,0.150000,115.403206,0.057767,0.003337,0.003337,0.996663,0.996663,0.000000,0.000000,0.000000,37.810034,"[[896   0]
 [  3   0]]"
"['High Price GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR']",0.070000,0.200000,115.403206,0.057767,0.003337,0.003337,0.996663,0.996663,0.000000,0.000000,0.000000,37.810034,"[[896   0]
 [  3   0]]"
"['High Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR']",0.070000,0.250000,115.403206,0.057767,0.003337,0.003337,0.996663,0.996663,0.000000,0.000000,0.000000,35.316476,"[[896   0]
 [  3   0]]"
"['Open Price GR', 'High Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Expenditure GR', 'Net Profit GR']",0.070000,0.658947,0.100000,0.057767,0.003337,0.003337,0.996663,0.996663,0.000000,0.000000,0.000000,24.042228,"[[896   0]
 [  3   0]]"
"['Open Price GR', 'High Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Expenditure GR', 'Net Profit GR']",0.070000,0.466738,0.500000,0.057767,0.003337,0.003337,0.996663,0.996663,0.000000,0.000000,0.000000,26.018679,"[[896   0]
 [  3   0]]"
"['High Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Expenditure GR']",0.070000,0.272120,1.000000,0.057767,0.003337,0.003337,0.996663,0.996663,0.000000,0.000000,0.000000,32.023286,"[[896   0]
 [  3   0]]"
"['High Price GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR']",0.070000,0.106327,2.000000,0.057767,0.003337,0.003337,0.996663,0.996663,0.000000,0.000000,0.000000,37.810034,"[[896   0]
 [  3   0]]"
"['High Price GR', 'No. of Trades GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR']",0.070000,0.024622,5.000000,0.057767,0.003337,0.003337,0.996663,0.996663,0.000000,0.000000,0.000000,50.967160,"[[896   0]
 [  3   0]]"
"['No. of Trades GR', 'Spread High-Low GR', 'Beta GR']",0.070000,0.000802,10.000000,0.057767,0.003337,0.003337,0.996663,0.996663,0.000000,0.000000,0.000000,82.017816,"[[896   0]
 [  3   0]]"
['Beta GR'],0.070000,0.000000,100.000000,0.057767,0.003337,0.003337,0.996663,0.996663,0.000000,0.000000,0.000000,113.239313,"[[896   0]
 [  3   0]]"
"['High Price GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR']",0.080000,0.050000,114.785402,0.057767,0.003337,0.003337,0.996663,0.996663,0.000000,0.000000,0.000000,42.856945,"[[896   0]
 [  3   0]]"
"['High Price GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR']",0.080000,0.100000,114.785402,0.057767,0.003337,0.003337,0.996663,0.996663,0.000000,0.000000,0.000000,42.856945,"[[896   0]
 [  3   0]]"
"['High Price GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR']",0.080000,0.150000,114.785402,0.057767,0.003337,0.003337,0.996663,0.996663,0.000000,0.000000,0.000000,42.856945,"[[896   0]
 [  3   0]]"
"['High Price GR', 'Close Price GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Expenditure GR']",0.080000,0.200000,114.785402,0.057767,0.003337,0.003337,0.996663,0.996663,0.000000,0.000000,0.000000,34.335485,"[[896   0]
 [  3   0]]"
"['High Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Expenditure GR']",0.080000,0.250000,114.785402,0.057767,0.003337,0.003337,0.996663,0.996663,0.000000,0.000000,0.000000,31.796711,"[[896   0]
 [  3   0]]"
"['High Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Expenditure GR', 'Net Profit GR']",0.080000,0.733215,0.100000,0.057767,0.003337,0.003337,0.996663,0.996663,0.000000,0.000000,0.000000,26.732314,"[[896   0]
 [  3   0]]"
"['High Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Expenditure GR', 'Net Profit GR']",0.080000,0.436697,0.500000,0.057767,0.003337,0.003337,0.996663,0.996663,0.000000,0.000000,0.000000,29.148842,"[[896   0]
 [  3   0]]"
"['High Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Expenditure GR']",0.080000,0.219292,1.000000,0.057767,0.003337,0.003337,0.996663,0.996663,0.000000,0.000000,0.000000,31.796711,"[[896   0]
 [  3   0]]"
"['High Price GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR']",0.080000,0.045647,2.000000,0.057767,0.003337,0.003337,0.996663,0.996663,0.000000,0.000000,0.000000,42.856945,"[[896   0]
 [  3   0]]"
"['No.of Shares GR', 'No. of Trades GR', 'Spread High-Low GR', 'Beta GR']",0.080000,0.017055,5.000000,0.057767,0.003337,0.003337,0.996663,0.996663,0.000000,0.000000,0.000000,68.093888,"[[896   0]
 [  3   0]]"
"['No. of Trades GR', 'Spread High-Low GR', 'Beta GR']",0.080000,0.001248,10.000000,0.057767,0.003337,0.003337,0.996663,0.996663,0.000000,0.000000,0.000000,90.346886,"[[896   0]
 [  3   0]]"
"['No. of Trades GR', 'Beta GR']",0.080000,0.000000,100.000000,0.057767,0.003337,0.003337,0.996663,0.996663,0.000000,0.000000,0.000000,118.342908,"[[896   0]
 [  3   0]]"
"['High Price GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR']",0.090000,0.050000,145.634221,0.047167,0.002225,0.002225,0.997775,0.997775,0.000000,0.000000,0.000000,51.697096,"[[897   0]
 [  2   0]]"
"['High Price GR', 'Close Price GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Expenditure GR']",0.090000,0.100000,145.634221,0.047167,0.002225,0.002225,0.997775,0.997775,0.000000,0.000000,0.000000,41.471577,"[[897   0]
 [  2   0]]"
"['High Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Expenditure GR']",0.090000,0.150000,145.634221,0.047167,0.002225,0.002225,0.997775,0.997775,0.000000,0.000000,0.000000,38.898996,"[[897   0]
 [  2   0]]"
"['High Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Expenditure GR']",0.090000,0.200000,145.634221,0.047167,0.002225,0.002225,0.997775,0.997775,0.000000,0.000000,0.000000,38.898996,"[[897   0]
 [  2   0]]"
"['High Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Expenditure GR']",0.090000,0.250000,145.634221,0.047167,0.002225,0.002225,0.997775,0.997775,0.000000,0.000000,0.000000,38.898996,"[[897   0]
 [  2   0]]"
"['Open Price GR', 'High Price GR', 'Close Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Alpha GR', 'Beta GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR', 'Net Profit GR']",0.090000,0.725886,0.100000,0.047167,0.002225,0.002225,0.997775,0.997775,0.000000,0.000000,0.000000,26.172059,"[[897   0]
 [  2   0]]"
