units,epochs,batch_size,layers,direction,root_mean_squared_error,mean_absolute_error,mean_squared_error,rsquared_adj
50,25,25,3,0.4694104560622914,0.022040624194176822,0.016029364085893012,0.0004857891148689327,-0.11886308210297192
50,50,25,3,0.4638487208008899,0.021033617099294986,0.015238374381414304,0.00044241304827975444,-0.018959897638730183
50,75,25,3,0.4883203559510567,0.021030394048319988,0.015139080803844338,0.0004422774738276128,-0.01864764434870203
50,100,25,3,0.4838709677419355,0.020964604811570985,0.01508072630526394,0.00043951465490534535,-0.01228435624683799
50,25,32,3,0.4827586206896552,0.020968709223147326,0.015022058714580457,0.0004396867664849037,-0.012680761366829829
50,50,32,3,0.47052280311457173,0.022155056763355413,0.01623491404434385,0.0004908465401875004,-0.13051127739233115
50,75,32,3,0.4660734149054505,0.021669595698023115,0.015895008338948653,0.00046957137771578194,-0.08151060379393082
50,100,32,3,0.48164627363737483,0.021171766636311398,0.015199679888205827,0.0004482437025024285,-0.032388983541607796
50,25,48,3,0.4760845383759733,0.021303891075526073,0.015203462034101856,0.00045385577495787947,-0.04531463480117792
50,50,48,3,0.4860956618464961,0.021376010273204286,0.015497757063597788,0.00045693381520013523,-0.05240393648966157
50,75,48,3,0.4760845383759733,0.020897378398009116,0.01512248272148398,0.0004367004239095781,-0.005802656535383255
50,100,48,3,0.4938820912124583,0.0210124423253159,0.015049566633375871,0.00044152273247472694,-0.01690933401931516
50,25,64,3,0.4994438264738598,0.0217067070905443,0.015764656713238706,0.00047118113271468623,-0.0852181702757171
50,50,64,3,0.4783092324805339,0.021227814375971227,0.015224197241593589,0.00045062010318069076,-0.037862278240500924
50,75,64,3,0.4649610678531702,0.02190862661534765,0.01600303939021638,0.0004799879201707194,-0.10550184698827891
50,100,64,3,0.489432703003337,0.020790722541475567,0.015014016771239981,0.0004322541437966202,0.004437957177049312
100,25,25,3,0.46273637374860954,0.021684694716092315,0.015694772804063863,0.000470225984930122,-0.08301828649612752
100,50,25,3,0.4760845383759733,0.021024340040618317,0.015208968787570304,0.00044202287414354664,-0.018061253714376058
100,75,25,3,0.4760845383759733,0.020759478105449276,0.014952780510130907,0.0004309559312106278,0.007427983282471962
100,100,25,3,0.4760845383759733,0.02130608100637079,0.015138257154762021,0.0004539490878500342,-0.045529551823648484
100,25,32,3,0.4916573971078977,0.02154658391336766,0.015522943302356339,0.00046425527833579403,-0.06926663381806208
100,50,32,3,0.47052280311457173,0.021300800826923243,0.015599254860899135,0.00045372411586825387,-0.04501139932245568
100,75,32,3,0.4682981090100111,0.02108107816947746,0.015313930401313479,0.00044441185678761907,-0.02356352703097464
100,100,32,3,0.4771968854282536,0.020695532010002182,0.014965620514732759,0.0004283050451770249,0.013533469031490664
100,25,48,3,0.474972191323693,0.02158008974674393,0.015437302611031616,0.0004657002734775225,-0.07259472756988372
100,50,48,3,0.46162402669632924,0.022054878715254696,0.01614636319825309,0.00048641767514459464,-0.12031077383954836
100,75,48,3,0.4983314794215795,0.020823720841962837,0.015005360088152998,0.0004336273497039975,0.0012752074429290827
100,100,48,3,0.4916573971078977,0.02079283433910331,0.01484149070309172,0.00043234195985339386,0.004235700393328545
100,25,64,3,0.47163515016685204,0.021734833367473665,0.015757761930589833,0.00047240298151184654,-0.08803231630989372
100,50,64,3,0.4738598442714127,0.021291569541541235,0.015359516243178627,0.0004533309335422865,-0.04410582697512355
100,75,64,3,0.4905450500556173,0.021199075278487963,0.015446387158590119,0.0004494007926629995,-0.03505397833811896
100,100,64,3,0.4738598442714127,0.02083636997755569,0.01492285643957617,0.0004341543138415841,6.151059157644134e-05
