Security Code,Security Name
501270,Antariksh Industries Ltd
501295,INDUSTRIAL INVESTMENT TRUST LTD.
501298,INDUSTRIAL & PRUDENTIAL INVESTMENTS CO.LTD.
501301,TATA INVESTMENT CORPORATION LTD.
501311,JAYABHARAT CREDIT LTD.-$
501314,Prismx Global Ventures Ltd
501343,MOTOR & GENERAL FINANCE LTD.
501351,RAPID INVESTMENTS LTD.
501370,WALCHAND PEOPLEFIRST LTD.
501386,SWASTIK SAFE DEPOSIT & INVESTMENTS LTD.
501391,W.H.BRADY & CO.LTD.
501421,TECHNVISION VENTURES LTD.
501423,SHAILY ENGINEERING PLASTICS LTD.
501425,BOMBAY BURMAH TRADING CORP.LTD.
501430,BOMBAY CYCLE & MOTOR AGENCY LTD.
501455,GREAVES COTTON LTD.
501477,MULLER & PHIPPS (INDIA) LTD.
501622,AMALGAMATED ELECTRICITY CO.LTD.
501630,Anand Projects Ltd
501700,INDIANIVESH LTD.
501831,COASTAL CORPORATION LTD.
501848,GLOBAL OFFSHORE SERVICES LTD.-$
501945,DHENU BUILDCON INFRA LTD.
502015,ASI Industries Ltd
502090,SAGAR CEMENTS LTD.-$
502137,DECCAN CEMENTS LTD.-$
502157,MANGALAM CEMENT LTD.
502168,NCL INDUSTRIES LTD.-$
502175,SAURASHTRA CEMENT LTD.
502180,SHREE DIGVIJAY CEMENT CO.LTD.-$
502216,BOMBAY POTTERIES & TILES LTD.
502219,Borosil Renewables Ltd
502250,Lerthai Finance Ltd
502271,RAASI REFRACTORIES LTD.-$
502281,TRIVENI GLASS LTD.-$
502294,NILACHAL REFRACTORIES LTD.
502330,Andhra Paper Ltd
502355,BALKRISHNA INDUSTRIES LTD.-$
502420,ORIENT PAPER & INDUSTRIES LTD.
502445,CITADEL REALTY AND DEVELOPERS LTD.
502448,ROLLATAINERS LTD.
502450,SESHASAYEE PAPER & BOARDS LTD.
502460,SOLID CONTAINERS LTD.
502563,SHREE BHAWANI PAPER MILLS LTD.
502587,Nath Industries Ltd
502589,VAPI PAPER MILLS LTD.
502742,SINTEX INDUSTRIES LTD.
502820,DCM LTD.
502850,GAEKWAR MILLS LTD.
502865,FORBES & COMPANY LTD.-$
502873,H.P.COTTON TEXTILE MILLS LTD.
502893,UNITED INTERACTIVE LTD.
502901,Jamshri Realty Ltd-$
502933,KATARE SPINNING MILLS LTD.
502937,KESORAM INDUSTRIES LTD.
502958,LAKSHMI MILLS COMPANY LTD.-$
502986,VARDHMAN TEXTILES LTD.
503015,MODERN INDIA LTD.-$
503031,PENINSULA LAND LTD.
503092,PASUPATI SPG.& WVG.MILLS LTD.
503100,The Phoenix Mills Ltd
503101,MARATHON NEXTGEN REALTY LTD.
503127,RAJA BAHADUR INTERNATIONAL LTD.
503162,RELIANCE CHEMOTEX INDUSTRIES LTD.-$
503169,RUBY MILLS LTD.
503229,SIMPLEX REALTY LTD.
503310,SWAN ENERGY LTD.
503349,VICTORIA MILLS LTD.
503622,S.V.TRADING & AGENCIES LTD.
503624,SVARAJ TRADING & AGENCIES LTD.
503635,SHREE SALASAR INVESTMENT LTD.
503639,INDSOYA LTD.
503641,Zodiac Ventures Limited
503657,VEER ENERGY & INFRASTRUCTURE LTD.
503659,SW Investments Ltd
503663,Tilak Ventures Ltd
503669,K K Fincorp Limited
503671,UNIJOLLY INVESTMENTS CO.LTD.
503675,Wagend Infra Venture Limited
503681,ELCID INVESTMENTS LTD.
503689,HEALTHY INVESTMENTS LTD.
503691,SAHARA ONE MEDIA & ENTERTAINMENT LTD.-$
503696,SHREENATH INVESTMENTS CO.LTD.
503722,BANSWARA SYNTEX LTD.-$
503776,MODIPON LTD.
503804,SHRI DINESH MILLS LTD.-$
503806,SRF LTD.
503811,SIYARAM SILK MILLS LTD.-$
503816,SWADESHI POLYTEX LTD.
503863,SHREE MANUFACTURING CO.LTD.
503893,SATYAM SILK MILLS LTD.
503960,BHARAT BIJLEE LTD.-$
504000,ELPRO INTERNATIONAL LTD.
504008,EMCO LTD.-$
504028,GEE LTD.
504036,HIND RECTIFIERS LTD.
504058,INDO-NATIONAL LTD.
504067,ZENSAR TECHNOLOGIES LTD.
504076,JYOTI LTD.-$
504080,JSL INDUSTRIES LTD.
504084,KAYCEE INDUSTRIES LTD.
504092,INDOKEM LTD.
504093,PANASONIC ENERGY INDIA COMPANY LTD.-$
504112,NELCO LTD.
504132,PERMANENT MAGNETS LTD.-$
504176,HIGH ENERGY BATTERIES (INDIA) LTD.
504180,STANDARD BATTERIES LTD.
504212,UNIVERSAL CABLES LTD.
504220,W.S.INDUSTRIES (INDIA) LTD.-$
504240,DELTON CABLES LTD.
504258,LAKSHMI ELECTRICAL CONTROL SYSTEMS LTD.
504273,Modulex Construction Technologies Ltd
504286,Delta Manufacturing Ltd
504335,Pazel International Ltd
504340,Confidence Finance And Trading Limited
504341,Ravindra Energy Ltd
504346,G.D.TRADING & AGENCIES LTD.
504356,MULTIPURPOSE TRADING & AGENCIES LTD.
504360,REMI SALES & ENGINEERING LTD.
504365,RIDHI SYNTHETICS LTD.
504375,SOFTBPO GLOBAL SERVICES LTD.
504378,Nyssa Corporation Limited
504380,Flomic Global Logistics Ltd
504390,AVTIL Enterprise Ltd
504392,Krishna Ventures Limited
504397,GANESH HOLDINGS LTD.
504398,SJ CORPORATION LTD.
504605,UNI ABEX ALLOY PRODUCTS LTD.
504614,SARDA ENERGY & MINERALS LTD.-$
504646,BHAGWATI AUTOCAST LTD.
504648,BOMBAY WIRE ROPES LTD.
504673,UNIVERSAL PRIME ALUMINIUM LTD.
504697,GALADA POWER & TELECOMMUNICATION LTD.
504717,STEEL STRIPS LTD.
504731,INDIAN BRIGHT STEEL CO.LTD.
504741,INDIAN HUME PIPE CO.LTD.
504746,INDIAN LINK CHAIN MANUFACTURES LTD.
504786,INVESTMENT & PRECISION CASTINGS LTD.
504810,INFORMED TECHNOLOGIES INDIA LTD.
504840,KAIRA CAN CO.LTD.
504879,ORIENT ABRASIVES LTD.-$
504882,NATIONAL STANDARD (INDIA) LTD.
504908,Duncan Engineering Ltd-$
504918,SANDUR MANGANESE & IRON ORES LTD.
504959,STOVEC INDUSTRIES LTD.
504961,TAYO ROLLS LTD.-$
504966,TINPLATE COMPANY OF INDIA LTD.
504973,Cholamandalam Financial Holdings Ltd
504988,WELCAST STEELS LTD.
504998,WESTERN MINISTIL LTD.
505010,AUTOMOTIVE AXLES LTD.
505036,AUTOMOBILE CORPORATION OF GOA LTD.-$
505075,SETCO AUTOMOTIVE LTD.
505141,SCOOTERS INDIA LTD.
505160,TALBROS AUTOMOTIVE COMPONENTS LTD.
505163,Z.F.STEERING GEAR (INDIA) LTD.-$
505192,SML ISUZU LIMITED
505196,TIL LTD.
505200,EICHER MOTORS LTD.
505212,JAINEX AAMCOL LTD.
505216,ALFRED HERBERT (INDIA) LTD.
505232,Veljan Denison Limited
505242,DYNAMATIC TECHNOLOGIES LTD.-$
505250,G.G.DANDEKAR MACHINE WORKS LTD.
505255,GMM PFAUDLER LTD.
505283,KIRLOSKAR PNEUMATIC CO.LTD.
505285,Tulive Developers Limited
505299,KPT Industries Ltd
505302,LAKSHMI AUTOMATIC LOOM WORKS LTD.
505320,LYNX MACHINERY & COMMERCIALS LTD.
505324,MANUGRAPH INDIA LTD.-$
505336,Mirch Technologies (India) Ltd
505355,NESCO LTD.
505358,INTEGRA ENGINEERING INDIA LTD.
505368,REVATHI EQUIPMENT LTD.-$
505400,TEXMACO INFRASTRUCTURE & HOLDINGS LTD.
505412,WENDT (INDIA) LTD.
505504,SINDU VALLEY TECHNOLOGIES LTD.
505509,RESPONSIVE INDUSTRIES LTD.
505515,SHYAMKAMAL INVESTMENTS LTD.
505523,MAHARASHTRA CORPORATION LTD.
505526,DOLAT INVESTMENTS LTD.
505533,WESTLIFE DEVELOPMENT LTD.
505537,ZEE ENTERTAINMENT ENTERPRISES LTD.
505576,Goldcrest Corporation Limited
505583,W W TECHNOLOGY HOLDINGS LTD.
505585,KOVALAM INVESTMENT & TRADING CO.LTD.
505590,SVP GLOBAL VENTURES LTD.
505594,MULTIPLUS HOLDINGS LTD.
505650,SKYLINE MILLARS LTD.
505658,REMI PROCESS PLANT & MACHINERY LTD.
505681,BIMETAL BEARINGS LTD.-$
505685,TAPARIA TOOLS LTD.
505688,BHARAT GEARS LTD.
505690,BRADY & MORRIS ENGINEERING CO.LTD.
505693,La Tim Metal & Industries Ltd
505700,ELECON ENGINEERING CO.LTD.
505703,DECCAN BEARINGS LTD.
505710,GRAUER & WEIL (INDIA) LTD.-$
505711,GAJRA BEVEL GEARS LTD.-$
505712,Him Teknoforge Ltd
505714,GABRIEL INDIA LTD.-$
505720,HERCULES HOISTS LTD.
505725,HINDUSTAN EVEREST TOOLS LTD.
505726,IFB INDUSTRIES LTD.
505729,SINGER INDIA LTD.
505737,INTERNATIONAL COMBUSTION (INDIA) LTD.
505744,FEDERAL-MOGUL GOETZE (INDIA) LTD.
505750,JOST&#39;S ENGINEERING CO.LTD.
505790,Schaeffler India Ltd
505800,RANE HOLDINGS LTD.
505807,ROLCON ENGINEERING CO.LTD.
505827,SNL BEARINGS LTD.
505840,JAIPAN INDUSTRIES LTD.
505850,MANGAL CREDIT AND FINCORP LTD.
505854,TRF LTD.-$
505872,WPIL LTD.
505890,KENNAMETAL INDIA LTD.-$
505893,Hindustan Hardy Ltd
505978,TRITON VALVES LTD.
506003,SUDAL INDUSTRIES LTD.
506022,PRAKASH INDUSTRIES LTD.
506024,Hariyana Ventures Ltd
506074,Arshiya Limited
506076,GRINDWELL NORTON LTD.-$
